"Week_ending_friday","Week_number","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2012-09-07,"2012w36",112.11,0.7979,140.506329113924,111.316686173302,0.9345,20.0872400756144,20.4622400756144,132.605433837429,156.9,154.002173913043,21.288747664127,23.9768484662924,101.888104708635,0.8085,28.1384688090737,89.2674688090737,125.652292060492,219.9,215.728260869565,23.7641873518565,21.1819772217662,135.125282608696
2012-09-14,"2012w37",113.61,0.81794,138.89771865907,109.131765400611,0.9345,20.0872400756144,20.4622400756144,132.605433837429,156.9,154.002173913043,23.4736684368182,24.0246850793935,102.995901135762,0.8085,28.1384688090737,89.2674688090737,125.652292060492,219.9,215.728260869565,22.6563909247295,21.2352981663568,135.125282608696
2012-09-21,"2012w38",109.31,0.82846,131.943606209111,106.072541960376,0.9345,20.0872400756144,20.4622400756144,132.605433837429,156.9,154.002173913043,26.5328918770535,24.0725216924945,99.439905276982,0.8085,27.952133405347,89.081133405347,124.410056035647,218.471428571429,214.299689440994,24.9701507586647,21.2886191109473,135.125282608696
2012-09-28,"2012w39",108.16,0.82524,131.064902331443,104.963655106332,0.9345,19.826370510397,20.201370510397,130.866303402646,154.9,152.002173913043,25.9026482963142,24.1203583055956,100.216113322098,0.8085,27.4862948960302,88.6152948960302,121.304465973535,214.9,210.728260869565,21.0883526514374,21.3419400555379,133.386152173913
2012-10-05,"2012w40",107.86,0.82476,130.777438285077,105.548108742005,0.9345,19.8501890359168,20.2251890359168,131.025093572779,154.9,152.184782608696,25.4769848307738,24.1616521569441,100.288371458844,0.8085,27.3890359168242,88.5180359168242,120.656072778828,214.9,209.982608695652,20.3677013199844,21.3772731588284,133.386152173913
2012-10-12,"2012w41",110.4,0.81768,135.016143234517,108.136370170008,0.9345,19.8501890359168,20.2251890359168,131.025093572779,154.9,152.184782608696,22.8887234027712,24.2029460082926,103.961461989523,0.8085,27.6126384012962,88.7416384012962,122.146756008642,216.614285714286,211.696894409938,18.1852940191182,21.4126062621189,133.386152173913
2012-10-19,"2012w42",109.91,0.81816,134.338026791826,108.084916705662,0.9345,19.8501890359168,20.2251890359168,131.025093572779,154.9,152.184782608696,22.9401768671164,24.2442398596411,101.541805121479,0.8085,27.7803402646503,88.9093402646503,123.264768431002,217.9,212.982608695652,21.7229633095233,21.4479393654094,133.386152173913
2012-10-26,"2012w43",106.27,0.81725,130.033649434078,104.412088599423,0.9345,19.6824871725628,20.0574871725628,129.907081150419,153.614285714286,150.899068322981,25.4949925509958,24.2855337109896,95.1689005683351,0.8085,27.2772346745882,88.4062346745882,119.910731163921,214.042857142857,209.125465838509,24.7418305955861,21.4832724686999,132.268139751553
2012-11-02,"2012w44",106.04,0.82238,128.942824485031,103.763455383008,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,24.6529425375967,24.3268275623381,93.5961045544204,0.8085,26.9977315689981,88.1267315689981,118.047377126654,211.9,206.982608695652,24.4512725722337,21.5186055719904,130.777456521739
2012-11-09,"2012w45",105.33,0.82226,128.09816846253,101.753232792684,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,26.6631651279207,24.3681214136866,93.387224549557,0.8085,26.606427221172,87.735427221172,115.43868147448,208.9,203.982608695652,22.0514569249232,21.5539386752809,130.777456521739
2012-11-16,"2012w46",106.89,0.81362,131.375826552936,102.89408378783,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,25.5223141327753,24.4094152650351,97.7255200210927,0.8085,26.606427221172,87.735427221172,115.43868147448,208.9,203.982608695652,17.7131614533875,21.5892717785714,130.777456521739
2012-11-23,"2012w47",108.68,0.81608,133.17321831193,104.555452610892,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,23.8609453097132,24.4507091163836,99.3204811334905,0.8085,26.9790980286254,88.1080980286254,117.92315352417,211.757142857143,206.839751552795,18.6026723906791,21.6246048818619,130.777456521739
2012-11-30,"2012w48",108.05,0.8228,131.319883325231,103.799875287935,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,24.6165226326697,24.4747937726812,97.349337424741,0.8085,27.1281663516068,88.2571663516068,118.916942344045,212.9,207.982608695652,21.5676049193044,21.6566357240358,130.777456521739
2012-12-07,"2012w49",105.95,0.82534,128.371337872877,103.443540687255,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,24.9728572333499,24.4988784289787,94.5288883016328,0.8085,27.1281663516068,88.2571663516068,118.916942344045,212.9,207.982608695652,24.3880540424125,21.6886665662098,130.777456521739
2012-12-14,"2012w50",105.06,0.83846,125.301147341555,99.4815541885833,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,28.9348437320216,24.5229630852763,92.2797677413536,0.8085,26.6809613826627,87.8099613826627,115.935575884418,209.471428571429,204.554037267081,23.6558081430645,21.7206974083837,130.777456521739
2012-12-21,"2012w51",106.34,0.84018,126.568116356019,100.344912421184,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,28.0714854994207,24.5470477415739,93.540776102318,0.8085,26.606427221172,87.735427221172,115.43868147448,208.9,203.982608695652,21.8979053721621,21.7527282505577,130.777456521739
2012-12-28,"2012w52",106.46,0.8214,129.607986364743,102.875032842747,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,25.5413650778578,24.5711323978715,97.6432484159723,0.8085,26.606427221172,87.735427221172,115.43868147448,208.9,203.982608695652,17.7954330585078,21.7847590927316,130.777456521739
2013-01-04,"2013w00",107.3,0.8307,129.168171421693,101.999644606993,0.9345,19.4420289855072,19.8170289855072,128.304026570048,153.9,149.055555555556,26.3043819630558,24.595217054169,97.9456138396232,0.8085,27.0289855072464,88.1579855072464,118.255736714976,212.9,207.222222222222,20.3101228753527,21.8167899349055,132.516586956522
2013-01-11,"2013w01",107.45,0.8378,128.252566244927,101.813809341381,0.9345,19.4420289855072,19.8170289855072,128.304026570048,153.9,149.055555555556,26.4902172286676,24.6193017104666,96.0899548584262,0.8085,27.0289855072464,88.1579855072464,118.255736714976,212.9,207.222222222222,22.1657818565497,21.8488207770795,132.516586956522
2013-01-18,"2013w02",107.13,0.83968,127.584317835366,101.449014870764,0.9345,19.2184265010352,19.5934265010352,126.813343340235,152.185714285714,147.34126984127,25.3643284694708,24.6433863667642,94.6332715333245,0.8085,26.8612836438923,87.9902836438923,117.137724292616,211.614285714286,205.936507936508,22.5044527592911,21.8808516192534,131.025903726708
2013-01-25,"2013w03",108.64,0.83882,129.515271452755,102.429858755986,0.9345,18.9202898550725,19.2952898550725,124.825765700483,149.9,145.055555555556,22.3959069444967,24.6702619919962,97.2837457706222,0.8085,26.6376811594203,87.7666811594203,115.647041062802,209.9,204.222222222222,18.3632952921797,21.941228779515,129.038326086957
2013-02-01,"2013w04",110.27,0.8367,131.79156208916,103.917189853427,0.9345,18.9202898550725,19.2952898550725,124.825765700483,149.9,145.055555555556,20.9085758470559,24.6971376172282,100.574985777115,0.8085,26.8612836438923,87.9902836438923,117.137724292616,211.614285714286,205.936507936508,16.5627385155002,22.0016059397765,129.038326086957
2013-02-08,"2013w05",112.2,0.8409,133.428469496968,106.495875949749,0.9345,19.0320910973085,19.4070910973085,125.57110731539,150.757142857143,145.912698412698,19.0752313656412,24.7240132424602,103.792619379306,0.8085,27.3830227743271,88.5120227743271,120.615985162181,215.614285714286,209.936507936508,16.8233657828752,22.0619831000381,129.783667701863
2013-02-15,"2013w06",112.99,0.84196,134.198774288565,107.800601903431,0.9345,19.4047619047619,19.7797619047619,128.055579365079,153.614285714286,148.769841269841,20.2549774616488,24.7508888676923,105.998680249648,0.8085,27.9047619047619,89.0337619047619,124.094246031746,219.614285714286,213.936507936508,18.0955657820979,22.1223602602997,132.268139751553
2013-02-22,"2013w07",110.72,0.84126,131.612105651047,106.692783326427,0.9345,19.5724637681159,19.9474637681159,129.17359178744,154.9,150.055555555556,22.4808084610125,24.7777644929243,105.107188005508,0.8085,28.0724637681159,89.2014637681159,125.212258454106,220.9,215.222222222222,20.1050704485983,22.1827374205612,133.386152173913
2013-03-01,"2013w08",107.54,0.82914,129.700653689365,104.977267017258,0.9345,19.5724637681159,19.9474637681159,129.17359178744,154.9,150.055555555556,24.1963247701818,24.8046401181563,102.920004804616,0.8085,28.0724637681159,89.2014637681159,125.212258454106,220.9,215.222222222222,22.2922536494899,22.2431145808228,133.386152173913
