"Week_ending_friday","Week_number","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2009-09-18,"2009w37",68.6,0.707,97.09,72.1,0,11.4,11.8,91.1,104.8,102.9,17.4,15.1502322128431,73.7,0,18,71.1,90.9,163.8,162,15.7,13.3954506207684,92.7895043731778
2009-09-25,"2009w38",66.55,0.716,92.99,70.7,0,11.3,11.7,90.3,103.9,102.1,18.3,15.2334301757344,70.6,0,17.9,71,90.1,162.9,161.2,16.4,13.4431428786213,92.0007835455436
2009-10-02,"2009w39",66.22,0.717,92.32,69.2,0,10.9,11.3,86.8,99.9,98.1,16.1,15.3166281386256,67.9,0,17.3,71.3,84.4,156.9,155.7,13.8,13.4908351364741,88.4
2009-10-09,"2009w40",68.4,0.732,93.44,69.3,0,10.9,11.3,86.8,99.9,98.1,17.6,15.3998261015169,67.7,0,17.4,73.5,83.1,157.9,156.7,15.2,13.538527394327,88.4
2009-10-16,"2009w41",72.45,0.74,97.94,73.5,0,10.9,11.3,86.8,99.9,98.1,17.5,15.4830240644082,70.3,0,17.4,73.5,83.1,157.9,156.7,15.4,13.5862196521798,88.4
2009-10-23,"2009w42",77,0.752,102.35,76.7,0,11.2,11.5,88.9,102.2,100.4,15.3,15.5662220272994,73.2,0,17.6,73.7,84.7,159.6,158.4,14.4,13.6339119100326,90.499203187251
2009-10-30,"2009w43",76.25,0.736,103.55,78.3,0,11.5,11.8,91.4,105,103.2,14.7,15.6494199901907,75.5,0,17.9,74,87.1,162.3,161.1,13.8,13.6816041678855,92.9994186046512
2009-11-06,"2009w44",77.08,0.72,107.09,79.9,0,11.8,12.2,93.9,107.9,106.1,15.6,15.7394508162984,76.4,0,18.3,74.4,90.2,165.9,164.7,14.7,13.772243258904,95.4998114985862
2009-11-13,"2009w45",77.12,0.738,104.44,77.2,0,11.8,12.2,93.9,107.9,106.1,14.1,15.8294816424061,74.9,0,18.3,74.4,90.2,165.9,164.7,13.8,13.8628823499225,95.4998114985862
2009-11-20,"2009w46",78.28,0.743,105.41,76.9,0,11.8,12.2,93.9,107.9,106.1,16.8,15.9195124685138,75.4,0,18.3,74.4,90.2,165.9,164.7,15.3,13.953521440941,95.4998114985862
2009-11-27,"2009w47",77.27,0.726,106.41,78,0,11.8,12.2,93.9,107.9,106.1,17.1,16.0095432946215,76.2,0,18.3,74.4,90.2,165.9,164.7,14.8,14.0441605319595,95.4998114985862
2009-12-04,"2009w48",79.19,0.72,109.96,79.4,0,11.8,12.2,93.9,107.9,106.1,16,16.0995741207292,78.3,0,18.3,74.4,90.2,165.9,164.7,14.1,14.134799622978,95.4998114985862
2009-12-11,"2009w49",74.57,0.717,104,78,0,11.8,12.2,93.9,107.9,106.1,14.5,16.189604946837,77,0,18.3,74.5,90.5,166.2,165,12.2,14.2254387139965,95.4998114985862
2009-12-18,"2009w50",72.97,0.721,101.25,75.5,0,11.8,12.1,93.8,107.8,106,15.8,16.2796357729447,75.3,0,18.4,74.5,90.8,166.5,165.2,13.7,14.316077805015,95.4996226415094
2009-12-25,"2009w51",73.13,0.705,103.76,79,0,11.7,12.1,93,106.9,105.1,17.6,16.3696665990524,79.4,0,18.1,74.2,88.5,163.9,162.7,13.2,14.4067168960335,94.5996194100856
2010-01-01,"2010w00",77.09,0.716,107.69,81.2,0,11.7,12.1,93,106.9,105.1,14,16.4466788299691,81.6,0,18.1,74.2,88.5,163.9,162.7,9.1,14.4940915164665,94.5996194100856
2010-01-08,"2010w01",80.01,0.73475,108.894181694454,81.0691537692697,0,11.9442680776014,12.3192680776014,95.1791446208113,109.042857142857,107.498412698413,14.1099908515416,16.5236910608858,81.0944728873757,0,18.5536155202822,74.6826155202822,92.2999241622575,168.471428571429,166.98253968254,11.2054512748818,14.5814661368994,96.5519841269841
