"Week_ending_friday","Week_number","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2004-04-23,"2004w16",32.1,0.633,50.74,43.4,0,7.5,7.9,59.6,67.5,67.5,18.7,18.2111466092246,48.6,0,12.7,54.7,59.8,114.5,114.5,13.9,13.7418934449687,59.6
2004-04-30,"2004w17",32.65,0.626,52.16,45.8,0,7.3,7.7,58.3,66,66,15.9,18.2152959161789,52.2,0,12.6,54.5,58.5,113,113,11.8,13.7240468843402,58.3
2004-05-07,"2004w18",33.38,0.63,52.94,47.8,0,7.8,8.2,62.2,70.3,70.3,18.8,18.2194452231333,53.3,0,13,55,62.3,117.3,117.3,13.8,13.7062003237118,62.1
2004-05-14,"2004w19",34.41,0.609,56.55,48.1,0,8.3,8.7,66.2,74.9,74.9,20.5,18.2235945300876,56.4,0,13.5,55.5,66.4,121.9,121.9,14.2,13.6883537630833,66.2
2004-05-21,"2004w20",35.77,0.602,59.4,46.5,0,8.3,8.6,65.7,74.3,74.3,17.9,18.2277438370419,54.3,0,13.5,55.4,65.9,121.3,121.3,12.6,13.6705072024549,65.7
2004-05-28,"2004w21",35.03,0.618,56.68,45.7,0,8.5,8.9,68,76.9,76.9,19.9,18.2318931439963,53.7,0,13.8,55.7,68.2,123.9,123.9,11.8,13.6526606418264,68
2004-06-04,"2004w22",35.22,0.628,56.13,44.3,0,8.5,8.9,67.7,76.6,76.6,21.3,18.2360424509506,49.4,0,13.7,55.7,67.9,123.6,123.6,13.6,13.634814081198,67.7
2004-06-11,"2004w23",33.52,0.629,53.3,44.5,0,8.2,8.5,65.1,73.6,73.6,19.4,18.2401917579049,48.2,0,13.4,55.4,65.2,120.6,120.6,11.5,13.6169675205696,65.1
2004-06-18,"2004w24",33.31,0.627,53.12,44.5,0,8,8.3,63.3,71.6,71.6,19,18.2443410648593,47.7,0,13.2,55.1,63.5,118.6,118.6,14.1,13.5991209599411,63.3
2004-06-25,"2004w25",33.66,0.63,53.45,43.2,0,7.8,8.1,61.8,69.9,69.9,17.3,18.2482812036884,44.6,0,13,55,61.9,116.9,116.9,13.7,13.5772756741476,61.8
2004-07-02,"2004w26",32.19,0.637,50.51,45.8,0,7.6,8,60.5,68.5,68.5,16.1,18.2522213425175,47.3,0,12.7,54.7,59.8,114.5,114.5,12.2,13.555430388354,60.5
2004-07-09,"2004w27",34.41,0.652,52.78,45.8,0,7.7,8,61.1,69.2,69.2,17.9,18.2561614813466,48.3,0,12.5,54.5,58.4,112.9,112.9,13.8,13.5335851025605,61.2
2004-07-16,"2004w28",34.44,0.656,52.52,47.7,0,7.9,8.2,62.7,70.9,70.9,16.9,18.2601016201757,48.9,0,12.7,54.6,59.3,113.9,113.9,12,13.5117398167669,62.7
2004-07-23,"2004w29",34.72,0.65,53.44,51,0,8,8.3,63.4,71.8,71.8,17.6,18.2640417590048,51.3,0,12.9,54.8,60.9,115.8,115.8,12.7,13.4898945309734,63.5
2004-07-30,"2004w30",35.24,0.632,55.75,51.5,0,8.3,8.6,66,74.6,74.6,18.2,18.2679818978339,53.1,0,13.1,55.1,63,118,118,14,13.4680492451799,66
2004-08-06,"2004w31",37.04,0.642,57.74,51,0,8.6,9,68.6,77.6,77.6,17.6,18.271922036663,53.2,0,13.4,55.4,65.2,120.6,120.6,14,13.4462039593863,68.6
2004-08-13,"2004w32",38.19,0.654,58.39,52,0,8.8,9.1,69.8,78.9,78.9,18.3,18.2758621754921,53.9,0,13.5,55.5,66.4,121.9,121.9,13.3,13.4243586735928,69.8
2004-08-20,"2004w33",39.81,0.666,59.77,52,0,8.8,9.1,69.8,78.9,78.9,18.8,18.2764474007903,52.8,0,13.5,55.5,66.4,121.9,121.9,13.2,13.3972315383093,69.8
2004-08-27,"2004w34",39.6,0.656,60.34,50.9,0,8.8,9.1,69.8,78.9,78.9,17.7,18.2770326260884,50.1,0,13.5,55.5,66.4,121.9,121.9,12.5,13.3701044030258,69.8
2004-09-03,"2004w35",36.46,0.652,55.91,52.9,0,8.8,9.1,69.9,79,79,17.9,18.2776178513866,49.3,0,13.5,55.5,66.3,121.8,121.8,13.5,13.3429772677422,69.9
2004-09-10,"2004w36",34.96,0.65,53.79,53.3,0,8.7,9,68.9,77.9,77.9,18,18.2782030766847,49.9,0,13.3,55.3,64.6,119.9,119.9,14.6,13.3158501324587,68.9
2004-09-17,"2004w37",34.57,0.659,52.45,54.7,0,8.7,9,68.9,77.9,77.9,16,18.2787883019829,51.6,0,13.3,55.3,64.6,119.9,119.9,15.3,13.2887229971752,68.9
2004-09-24,"2004w38",35.28,0.663,53.21,55.1,0,8.7,9,69,78,78,15.7,18.279373527281,52.7,0,13.3,55.3,64.7,120,120,14.8,13.2615958618917,69
2004-10-01,"2004w39",37.26,0.671,55.57,53.5,0,9.1,9.4,72.2,81.6,81.6,17.4,18.2799587525792,53.5,0,13.4,55.4,65.5,120.9,120.9,13.8,13.2344687266082,72.2
2004-10-08,"2004w40",37.8,0.673,56.14,57.3,0,9.1,9.5,72.4,81.9,81.9,17.3,18.2805439778773,55.4,0,13.4,55.4,65.5,120.9,120.9,12.8,13.2073415913247,72.4
2004-10-15,"2004w41",37.72,0.68,55.47,56.8,0,9.1,9.5,72.8,82.3,82.3,19.3,18.2758982354432,53.2,0,13.6,55.6,66.8,122.3,122.3,13.3,13.1754265187259,72.8
2004-10-22,"2004w42",37.54,0.688,54.58,55.9,0,9.4,9.7,74.7,84.5,84.5,17.5,18.2712524930091,53.6,0,13.9,55.9,69.2,125,125,13.8,13.1435114461272,74.8
2004-10-29,"2004w43",37.38,0.692,54.03,52.9,0,9.3,9.7,74.2,83.9,83.9,17.5,18.266606750575,51.8,0,13.7,55.7,67.7,123.3,123.3,14.4,13.1115963735285,74.2
2004-11-05,"2004w44",36.66,0.688,53.31,53.3,0,9.3,9.7,74.2,83.9,83.9,18.3,18.2619610081408,51.3,0,13.5,55.5,66.4,121.9,121.9,12.8,13.0796813009297,74.2
2004-11-12,"2004w45",34.98,0.69,50.71,51.9,0,9.2,9.6,73.5,83,83,20.6,18.2573152657067,49,0,13.4,55.4,65.6,121,121,13.8,13.047766228331,73.4
2004-11-19,"2004w46",32.97,0.701,47.01,53.1,0,9.1,9.4,72.2,81.6,81.6,18.8,18.2526695232726,50.4,0,13.3,55.3,64.4,119.6,119.6,13,13.0158511557323,72.2
2004-11-26,"2004w47",33.72,0.712,47.37,49.8,0,8.9,9.3,70.9,80.2,80.2,19,18.2480237808385,48.1,0,13.1,55.1,63.2,118.3,118.3,14.2,12.9839360831335,70.9
2004-12-03,"2004w48",35.46,0.716,49.53,45.2,0,9.1,9.4,72.2,81.6,81.6,19.1,18.2433780384043,42.3,0,13.4,55.4,65.2,120.6,120.6,14.9,12.9520210105348,72.2
2004-12-10,"2004w49",33.23,0.717,46.35,47.6,0,8.4,8.7,66.7,75.5,75.5,16.9,18.2379364666024,42.8,0,12.7,54.6,59.3,113.9,113.9,11.2,12.9177602175702,66.8
2004-12-17,"2004w50",33.94,0.71,47.81,48.2,0,8.1,8.5,64.4,72.9,72.9,19.3,18.2324948948004,43.1,0,12.2,54.2,55.7,109.9,109.9,13.4,12.8834994246056,64.4
2004-12-24,"2004w51",35.95,0.713,50.46,44.1,0,8.4,8.8,66.9,75.7,75.7,19.3,18.2270533229985,41.5,0,12.5,54.4,57.7,112.1,112.1,14.9,12.849238631641,66.9
2004-12-31,"2004w52",33.38,0.718,46.51,46,0,8.5,8.8,67.4,76.2,76.2,19.2,18.2216117511965,42.5,0,12.5,54.5,58,112.5,112.5,14.9,12.8149778386764,67.4
2005-01-07,"2005w01",34.44,0.7,49.18,47.4,0,8.2,8.5,65,73.5,73.5,20.4,18.2161701793946,45,0,12.3,54.2,56.2,110.5,110.5,14.3,12.7807170457117,65
2005-01-14,"2005w02",37.01,0.699,52.94,47.7,0,8.5,8.9,67.7,76.6,76.6,21.8,18.2107286075926,48.4,0,12.6,54.6,59,113.6,113.6,16.5,12.7464562527471,67.7
2005-01-21,"2005w03",39.32,0.7,56.19,49.6,0,8.7,9,68.9,77.9,77.9,21.5,18.2052870357907,49.1,0,13,55,62.2,117.2,117.2,17.2,12.7121954597825,68.9
2005-01-28,"2005w04",40.35,0.714,56.5,48.7,0,8.7,9,68.9,77.9,77.9,21.1,18.1998454639887,48.5,0,13.1,55.1,63.1,118.2,118.2,14.7,12.6779346668179,68.9
2005-02-04,"2005w05",38.79,0.711,54.53,49.1,0,8.7,9,68.9,77.9,77.9,19.3,18.1650507743988,49.1,0,13.2,55.2,63.7,118.9,118.9,14.6,12.635493783331,68.9
2005-02-11,"2005w06",38.2,0.705,54.21,48.7,0,8.5,8.8,67.4,76.2,76.2,18.6,18.130256084809,51.7,0,13.1,55,62.6,117.6,117.6,14,12.5930528998441,67.4
2005-02-18,"2005w07",39.4,0.715,55.09,51.7,0,8.4,8.7,66.5,75.2,75.2,17.3,18.0954613952191,54.7,0,12.9,54.9,61.6,116.5,116.5,12.4,12.5506120163572,66.5
2005-02-25,"2005w08",41,0.724,56.65,55.8,0,8.5,8.9,68,76.9,76.9,19.3,18.0606667056292,54.7,0,13.2,55.2,64,119.2,119.2,12.3,12.5081711328703,68
2005-03-04,"2005w09",42.9,0.726,59.11,55.8,0,8.6,9,68.8,77.8,77.8,17.1,18.0258720160393,55.7,0,13.4,55.3,64.9,120.2,120.2,10.2,12.4657302493834,68.8
2005-03-11,"2005w10",44.66,0.737,60.59,57.8,0,9.3,9.6,73.8,83.5,83.5,18.1,17.9910773264495,54.5,0,13.5,55.5,66.4,121.9,121.9,11.7,12.4232893658965,73.9
2005-03-18,"2005w11",46.21,0.741,62.36,58.6,0,9.7,10,76.9,86.9,86.9,21.1,17.9562826368596,55.3,0,13.6,55.5,66.6,122.2,122.2,10.9,12.3808484824096,76.9
2005-03-25,"2005w12",47.58,0.73,65.16,60.8,0,9.4,9.8,75,84.8,84.8,17.2,17.9214879472697,57.4,0,13.5,55.5,66.3,121.8,121.8,11.8,12.3384075989227,75
2005-04-01,"2005w13",46.77,0.709,65.95,63.5,0,9.8,10.1,77.7,87.8,87.8,18.9,17.8581568906025,61.2,0,13.9,55.8,68.9,124.7,124.7,12.7,12.3065380894918,77.7
2005-04-08,"2005w14",49.76,0.709,70.16,58.9,0,9.9,10.2,78.7,88.9,88.9,17.8,17.7948258339352,58.5,0,14.4,61.4,68.1,129.5,129.5,10.8,12.2746685800609,78.7
2005-04-15,"2005w15",46.76,0.72,64.96,58.1,0,9.9,10.2,78.7,88.9,88.9,15.2,17.7314947772679,57.9,0,14.4,61.4,68.1,129.5,129.5,7,12.2427990706301,78.7
2005-04-22,"2005w16",45.25,0.722,62.65,58,0,9.8,10.2,78.3,88.5,88.5,19.4,17.6681637206007,55.6,0,14.4,61.4,68.1,129.5,129.5,9.7,12.2109295611992,78.3
